"prefix";"maxLength";"minLength";"usage";"info"
"783";"10";"6";"Geographic numbers";"Oristano"
"784";"10";"6";"Geographic numbers";"Nuoro"
"785";"10";"6";"Geographic numbers";"Macomer"
"789";"10";"6";"Geographic numbers";"Olbia"
"79";"10";"6";"Geographic numbers";"Sassari"
"80";"10";"6";"Geographic numbers";"Bari"
"81";"10";"6";"Geographic numbers";"Napoli"
"823";"10";"6";"Geographic numbers";"Caserta"
"824";"10";"6";"Geographic numbers";"Benevento"
"825";"10";"6";"Geographic numbers";"Avellino"
"827";"10";"6";"Geographic numbers";"S. Angelo dei Lombardi"
"828";"10";"6";"Geographic numbers";"Battipaglia"
"831";"10";"6";"Geographic numbers";"Brindisi"
"832";"10";"6";"Geographic numbers";"Lecce"
"833";"10";"6";"Geographic numbers";"Gallipoli"
"835";"10";"6";"Geographic numbers";"Matera"
"836";"10";"6";"Geographic numbers";"Maglie"
"85";"10";"6";"Geographic numbers";"Pescara"
"861";"10";"6";"Geographic numbers";"Teramo"
"862";"10";"6";"Geographic numbers";"L'Aquila"
"863";"10";"6";"Geographic numbers";"Avezzano"
"864";"10";"6";"Geographic numbers";"Sulmona"
"865";"10";"6";"Geographic numbers";"Isernia"
"871";"10";"6";"Geographic numbers";"Chieti"
"872";"10";"6";"Geographic numbers";"Lanciano"
"873";"10";"6";"Geographic numbers";"Vasto"
"874";"10";"6";"Geographic numbers";"Campobasso"
"875";"10";"6";"Geographic numbers";"Termoli"
"881";"10";"6";"Geographic numbers";"Foggia"
"882";"10";"6";"Geographic numbers";"S. Severo"
"883";"10";"6";"Geographic numbers";"Andria"
"884";"10";"6";"Geographic numbers";"Manfredonia"
"885";"10";"6";"Geographic numbers";"Cerignola"
"89";"10";"6";"Geographic numbers";"Salerno"
"90";"10";"6";"Geographic numbers";"Messina"
"91";"10";"6";"Geographic numbers";"Palermo"
"921";"10";"6";"Geographic numbers";"Cefalù"
"922";"10";"6";"Geographic numbers";"Agrigento"
"923";"10";"6";"Geographic numbers";"Trapani"
"924";"10";"6";"Geographic numbers";"Alcamo"
"925";"10";"6";"Geographic numbers";"Sciacca"
"931";"10";"6";"Geographic numbers";"Siracusa"
"932";"10";"6";"Geographic numbers";"Ragusa"
"933";"10";"6";"Geographic numbers";"Caltagirone"
"934";"10";"6";"Geographic numbers";"Caltanissetta"
"935";"10";"6";"Geographic numbers";"Enna"
"941";"10";"6";"Geographic numbers";"Patti"
"942";"10";"6";"Geographic numbers";"Taormina"
"95";"10";"6";"Geographic numbers";"Catania"
"961";"10";"6";"Geographic numbers";"Catanzaro"
"962";"10";"6";"Geographic numbers";"Crotone"
"963";"10";"6";"Geographic numbers";"Vibo Valentia"
"964";"10";"6";"Geographic numbers";"Locri"
"965";"10";"6";"Geographic numbers";"Reggio Calabria"
"966";"10";"6";"Geographic numbers";"Palmi"
"967";"10";"6";"Geographic numbers";"Soverato"
"968";"10";"6";"Geographic numbers";"Lamezia Terme"
"971";"10";"6";"Geographic numbers";"Potenza"
"972";"10";"6";"Geographic numbers";"Melfi"
"973";"10";"6";"Geographic numbers";"Lagonegro"
"974";"10";"6";"Geographic numbers";"Vallo della Lucania"
"975";"10";"6";"Geographic numbers";"Sala Consilina"
"976";"10";"6";"Geographic numbers";"Muro Lucano"
"981";"10";"6";"Geographic numbers";"Castrovillari"
"982";"10";"6";"Geographic numbers";"Paola"
"983";"10";"6";"Geographic numbers";"Rossano"
"984";"10";"6";"Geographic numbers";"Cosenza"
"985";"10";"6";"Geographic numbers";"Scalea"
"99";"10";"6";"Geographic numbers";"Taranto"
